Relative_Humidity_Percentage,Indoor_Temperature_C,Outdoor_Temperature_C,Date
38,22.12,9.0,2017-03-12 12:34:08
39,21.8,8.7,2017-03-12 12:44:12
40,21.33,8.4,2017-03-12 12:53:45
41,21.02,8.2,2017-03-12 13:02:48
42,20.71,7.5,2017-03-12 13:12:50
43,20.39,7.8,2017-03-12 13:22:24
44,20.24,7.5,2017-03-12 13:31:57
43,19.92,7.7,2017-03-12 13:39:02
44,19.45,7.8,2017-03-12 13:42:19
44,19.29,8.1,2017-03-12 13:51:23
43,19.14,8.4,2017-03-12 14:00:56
44,18.98,9.4,2017-03-12 14:10:29
45,18.82,10.2,2017-03-12 14:20:02
46,18.67,10.4,2017-03-12 14:29:34
47,18.51,11.0,2017-03-12 14:39:07
48,18.2,11.3,2017-03-12 14:48:39
47,18.04,11.7,2017-03-12 14:57:42
45,17.88,11.8,2017-03-12 15:07:15
46,17.73,12.0,2017-03-12 15:27:21
47,17.57,11.9,2017-03-12 15:37:23
48,17.41,11.7,2017-03-12 15:47:28
49,17.25,11.5,2017-03-12 15:57:32
50,17.1,11.3,2017-03-12 16:07:37
51,18.04,10.8,2017-03-12 16:16:40
50,19.61,10.7,2017-03-12 16:26:45
49,20.71,10.5,2017-03-12 16:36:50
48,21.49,10.3,2017-03-12 16:46:55
48,22.27,10.1,2017-03-12 16:56:58
47,22.59,9.9,2017-03-12 17:07:02
48,22.75,10.0,2017-03-12 17:17:06
47,22.43,9.9,2017-03-12 17:27:09
46,22.12,10.0,2017-03-12 17:37:13
47,21.49,10.7,2017-03-12 17:47:17
49,21.02,11.5,2017-03-12 17:57:21
50,20.55,11.1,2017-03-12 18:17:28
51,20.24,11.4,2017-03-12 18:27:32
52,19.76,12.2,2017-03-12 21:38:02
53,19.45,12.4,2017-03-12 22:18:19
54,19.29,13.2,2017-03-13 06:20:04
55,18.82,13.4,2017-03-13 06:40:11
54,18.67,13.0,2017-03-13 06:50:17
55,18.51,12.5,2017-03-13 07:00:22
54,18.35,11.8,2017-03-13 07:10:25
55,18.2,11.2,2017-03-13 07:20:29
56,18.04,10.6,2017-03-13 07:50:42
55,17.88,9.9,2017-03-13 08:00:47
54,17.73,10.2,2017-03-13 08:10:50
53,17.41,10.3,2017-03-13 08:20:24
50,18.04,9.9,2017-03-13 08:30:28
46,18.2,9.7,2017-03-13 08:40:32
45,18.35,9.5,2017-03-13 08:50:36
46,18.67,9.6,2017-03-13 09:00:40
47,18.82,9.7,2017-03-13 09:10:43
48,19.14,9.5,2017-03-13 09:20:47
49,19.29,10.2,2017-03-13 09:40:54
48,19.29,11.1,2017-03-13 09:49:57
48,19.29,11.4,2017-03-13 10:00:01
47,19.45,11.6,2017-03-13 10:20:09
48,19.29,11.6,2017-03-13 10:30:11
47,19.45,12.0,2017-03-13 10:40:14
46,20.24,11.2,2017-03-13 10:50:17
45,21.49,11.1,2017-03-13 11:00:20
46,22.43,10.8,2017-03-13 11:09:53
44,22.9,8.0,2017-03-13 11:19:25
45,23.37,7.3,2017-03-13 11:48:33
46,23.84,7.2,2017-03-13 11:57:36
47,24.16,6.4,2017-03-13 12:07:39
49,24.31,6.1,2017-03-13 12:17:12
50,24.47,5.8,2017-03-13 12:26:44
49,24.94,5.7,2017-03-13 12:35:47
50,25.1,5.2,2017-03-13 12:45:20
51,24.94,4.9,2017-03-13 12:54:23
50,24.47,4.8,2017-03-13 13:03:56
51,24.0,4.7,2017-03-13 13:12:58
52,23.37,4.6,2017-03-13 13:32:04
50,22.9,4.5,2017-03-13 13:42:25
48,22.43,4.6,2017-03-13 13:50:52
45,21.96,4.9,2017-03-13 14:00:55
43,21.49,5.5,2017-03-13 14:10:58
44,21.18,6.3,2017-03-13 14:20:30
45,20.86,6.3,2017-03-13 14:30:33
46,20.55,6.5,2017-03-13 14:40:36
47,20.39,6.9,2017-03-13 14:50:40
47,20.08,7.0,2017-03-13 15:00:43
46,19.92,6.9,2017-03-13 15:10:47
45,19.76,6.8,2017-03-13 15:20:49
46,19.45,6.7,2017-03-13 15:30:52
45,18.82,6.5,2017-03-13 15:40:56
46,18.67,6.4,2017-03-13 15:51:00
47,18.51,6.3,2017-03-13 16:01:04
48,18.2,6.4,2017-03-13 16:11:07
49,18.04,6.5,2017-03-13 16:21:09
50,17.88,6.6,2017-03-13 16:31:12
49,17.73,6.4,2017-03-13 16:41:14
50,17.57,6.7,2017-03-13 16:51:17
49,17.41,6.6,2017-03-13 17:01:20
50,18.2,6.8,2017-03-13 17:11:23
49,20.24,7.4,2017-03-13 17:21:27
50,19.92,8.3,2017-03-13 17:31:32
49,20.55,8.9,2017-03-13 17:41:37
50,21.18,9.4,2017-03-13 17:51:13
49,21.8,10.3,2017-03-13 18:01:17
50,22.12,10.3,2017-03-13 18:21:26
51,22.43,10.5,2017-03-13 18:31:29
47,22.27,11.1,2017-03-13 18:41:34
46,21.96,11.3,2017-03-13 19:01:41
45,21.33,11.2,2017-03-13 20:42:19
45,21.02,10.7,2017-03-13 20:52:25
44,20.55,10.4,2017-03-14 06:14:15
43,20.24,9.3,2017-03-14 06:24:18
44,19.92,8.0,2017-03-14 06:34:24
42,19.45,7.4,2017-03-14 06:44:28
44,19.14,6.5,2017-03-14 06:54:32
45,18.98,5.7,2017-03-14 07:04:37
46,18.67,5.0,2017-03-14 07:14:42
48,18.51,5.1,2017-03-14 07:24:15
49,18.2,5.8,2017-03-14 07:44:25
50,18.04,6.0,2017-03-14 07:54:31
51,18.2,7.2,2017-03-14 08:04:35
48,18.51,7.3,2017-03-14 08:14:40
47,18.67,7.4,2017-03-14 08:34:48
46,18.82,7.6,2017-03-14 08:44:51
47,18.98,7.9,2017-03-14 09:05:01
46,19.14,8.3,2017-03-14 09:15:05
46,19.29,8.5,2017-03-14 09:34:45
45,19.45,8.9,2017-03-14 09:44:19
44,19.45,8.9,2017-03-14 09:54:22
45,19.76,9.4,2017-03-14 10:03:56
46,19.45,9.4,2017-03-14 10:13:59
45,19.29,9.7,2017-03-14 10:23:32
46,19.14,9.7,2017-03-14 10:33:35
47,18.98,10.0,2017-03-14 10:43:38
49,18.82,10.0,2017-03-14 10:53:12
50,18.67,9.8,2017-03-14 11:03:15
51,18.51,9.8,2017-03-14 11:13:18
52,18.2,9.5,2017-03-14 11:23:21
53,18.82,9.5,2017-03-14 11:33:25
55,20.08,8.6,2017-03-14 11:43:28
51,20.86,8.6,2017-03-14 11:53:32
49,21.8,7.2,2017-03-14 12:03:05
50,22.43,7.2,2017-03-14 12:13:09
49,22.75,6.5,2017-03-14 12:23:13
48,22.9,6.5,2017-03-14 12:33:16
48,23.06,5.4,2017-03-14 12:43:19
48,23.22,5.4,2017-03-14 12:53:22
48,23.37,4.0,2017-03-14 13:03:25
48,23.53,4.0,2017-03-14 13:13:28
48,23.06,4.0,2017-03-14 13:23:31
48,22.59,2.8,2017-03-14 13:33:34
48,22.12,2.8,2017-03-14 13:43:37
48,21.8,2.7,2017-03-14 13:45:42
48,21.33,2.7,2017-03-14 13:53:33
48,21.02,2.1,2017-03-14 14:03:37
48,20.71,2.1,2017-03-14 14:13:41
48,20.39,1.8,2017-03-14 14:23:43
48,20.08,1.8,2017-03-14 14:33:47
48,19.92,1.9,2017-03-14 14:43:50
48,19.76,1.9,2017-03-14 14:53:22
48,19.45,2.1,2017-03-14 15:02:55
48,19.29,2.1,2017-03-14 15:12:58
48,19.14,2.4,2017-03-14 15:23:01
47,18.98,2.4,2017-03-14 15:33:03
46,18.82,4.0,2017-03-14 15:42:37
46,18.67,4.0,2017-03-14 15:52:40
46,18.51,6.4,2017-03-14 16:02:43
46,18.2,6.4,2017-03-14 16:12:45
46,18.04,9.1,2017-03-14 16:22:19
45,17.88,9.1,2017-03-14 16:32:21
45,17.73,10.9,2017-03-14 16:42:25
45,17.57,10.9,2017-03-14 16:52:28
45,17.41,11.7,2017-03-14 17:02:30
45,18.2,11.7,2017-03-14 17:12:34
45,19.92,13.4,2017-03-14 17:22:37
45,21.02,13.4,2017-03-14 17:32:41
45,21.8,15.0,2017-03-14 17:42:46
45,20.55,15.0,2017-03-14 17:52:51
45,21.02,15.1,2017-03-14 18:22:32
45,21.49,15.1,2017-03-14 18:32:35
45,22.12,14.2,2017-03-14 21:33:26
44,22.43,14.2,2017-03-14 21:43:31
44,22.75,13.5,2017-03-14 22:13:45
45,23.06,13.5,2017-03-14 22:23:50
45,22.75,12.8,2017-03-15 06:25:32
45,22.27,12.8,2017-03-15 06:55:45
45,21.96,11.3,2017-03-15 07:05:48
45,21.33,11.3,2017-03-15 07:15:53
45,20.86,9.7,2017-03-15 07:25:57
46,20.55,9.7,2017-03-15 07:35:31
45,20.24,8.2,2017-03-15 07:45:36
45,19.92,6.8,2017-03-15 07:55:40
46,19.45,6.8,2017-03-15 08:05:45
46,19.14,6.8,2017-03-15 08:15:50
46,18.98,6.4,2017-03-15 08:25:53
46,18.82,6.4,2017-03-15 08:35:58
46,18.67,6.2,2017-03-15 08:56:05
46,18.51,6.2,2017-03-15 09:06:08
46,18.2,5.2,2017-03-15 09:16:12
46,18.04,5.2,2017-03-15 09:26:16
46,17.88,4.6,2017-03-15 09:35:49
46,18.04,4.6,2017-03-15 09:45:53
47,18.04,3.9,2017-03-15 09:55:56
48,18.04,3.9,2017-03-15 10:06:01
50,17.88,3.4,2017-03-15 10:16:03
50,18.04,3.4,2017-03-15 10:26:08
50,18.51,3.9,2017-03-15 10:36:10
51,20.08,3.9,2017-03-15 10:45:44
51,21.18,5.7,2017-03-15 10:55:46
51,21.8,5.7,2017-03-15 11:05:50
51,22.27,7.9,2017-03-15 11:15:22
51,22.59,7.9,2017-03-15 11:25:26
52,22.75,10.1,2017-03-15 11:35:29
52,23.06,10.1,2017-03-15 11:45:32
52,23.22,11.5,2017-03-15 11:55:35
52,23.37,11.5,2017-03-15 12:05:08
52,23.53,12.0,2017-03-15 12:15:11
52,23.69,12.0,2017-03-15 12:25:14
52,23.84,13.6,2017-03-15 12:35:17
52,23.53,13.6,2017-03-15 12:45:19
52,23.22,14.8,2017-03-15 12:54:51
52,22.75,14.8,2017-03-15 13:04:54
52,22.43,14.7,2017-03-15 13:14:57
52,21.8,14.7,2017-03-15 13:25:00
52,21.18,13.8,2017-03-15 13:35:03
52,20.86,13.8,2017-03-15 13:45:05
52,20.55,12.8,2017-03-15 13:48:57
53,20.39,12.8,2017-03-15 13:55:21
53,20.08,11.9,2017-03-15 14:05:25
53,19.92,11.9,2017-03-15 14:14:58
52,19.61,10.5,2017-03-15 14:25:01
52,19.45,10.5,2017-03-15 14:35:04
52,19.29,8.7,2017-03-15 14:55:13
52,19.14,8.7,2017-03-15 15:05:17
52,18.82,7.2,2017-03-15 15:15:20
53,18.67,7.2,2017-03-15 15:25:24
53,18.51,6.7,2017-03-15 15:34:57
53,18.35,6.7,2017-03-15 15:45:00
53,18.2,5.5,2017-03-15 15:55:02
53,18.04,5.5,2017-03-15 16:05:06
53,17.88,4.6,2017-03-15 16:15:08
53,17.73,4.6,2017-03-15 16:25:11
53,17.41,4.4,2017-03-15 16:34:14
53,18.35,4.4,2017-03-15 16:44:17
53,19.45,3.8,2017-03-15 16:54:19
53,19.76,3.8,2017-03-15 17:04:23
53,20.71,3.5,2017-03-15 17:14:27
53,21.65,3.5,2017-03-15 17:24:30
53,22.27,2.5,2017-03-15 17:34:36
53,22.75,2.5,2017-03-15 17:44:40
53,23.06,1.8,2017-03-15 17:54:45
53,22.75,1.8,2017-03-15 18:04:50
53,22.43,1.9,2017-03-15 18:14:54
53,22.12,1.9,2017-03-15 18:24:58
53,21.49,2.4,2017-03-15 18:44:38
53,21.18,2.4,2017-03-15 21:15:40
53,20.71,4.6,2017-03-15 21:25:44
53,20.39,4.6,2017-03-15 21:35:20
53,20.08,7.0,2017-03-16 06:17:23
53,19.76,7.0,2017-03-16 06:27:27
53,19.45,11.7,2017-03-16 06:37:32
53,19.14,11.7,2017-03-16 06:47:37
53,18.98,13.3,2017-03-16 06:57:40
53,18.82,13.3,2017-03-16 07:07:45
53,18.67,15.0,2017-03-16 07:17:49
53,18.51,15.0,2017-03-16 07:27:52
53,18.2,17.1,2017-03-16 07:37:58
36,18.04,17.1,2017-03-16 07:48:02
35,17.88,18.6,2017-03-16 07:58:08
34,18.04,18.6,2017-03-16 08:07:42
34,17.88,18.7,2017-03-16 08:17:46
33,17.88,18.7,2017-03-16 08:27:51
34,17.88,17.7,2017-03-16 08:37:55
36,17.73,17.7,2017-03-16 08:47:59
37,18.67,16.8,2017-03-16 08:58:02
38,19.92,16.8,2017-03-16 09:08:05
38,21.02,15.9,2017-03-16 09:18:09
39,21.8,15.9,2017-03-16 09:27:13
38,22.12,13.9,2017-03-16 09:37:16
38,22.27,13.9,2017-03-16 09:47:19
39,22.43,11.5,2017-03-16 09:57:24
39,22.75,11.5,2017-03-16 10:06:57
40,23.06,9.6,2017-03-16 10:16:30
40,23.22,9.6,2017-03-16 10:26:34
41,23.53,8.3,2017-03-16 10:36:37
41,23.69,8.3,2017-03-16 10:46:40
41,23.84,7.3,2017-03-16 10:56:44
41,24.0,7.0,2017-03-16 11:06:18
41,24.16,7.0,2017-03-16 11:16:21
41,24.0,5.3,2017-03-16 11:25:23
41,23.53,5.3,2017-03-16 11:34:56
42,23.22,4.3,2017-03-16 11:43:59
42,22.75,4.3,2017-03-16 11:53:33
42,22.43,3.6,2017-03-16 12:02:36
42,22.12,3.6,2017-03-16 12:12:40
43,21.49,2.8,2017-03-16 12:21:42
43,21.02,2.8,2017-03-16 12:31:15
43,20.71,2.1,2017-03-16 12:40:19
43,20.39,2.1,2017-03-16 12:49:22
43,20.24,1.8,2017-03-16 12:58:55
43,20.08,1.8,2017-03-16 13:07:58
43,19.76,3.1,2017-03-16 13:17:30
43,19.61,3.1,2017-03-16 13:26:33
43,19.45,4.9,2017-03-16 13:36:06
43,19.29,4.9,2017-03-16 13:52:26
43,19.14,8.6,2017-03-16 13:54:48
44,18.82,8.6,2017-03-16 14:03:53
44,18.67,13.9,2017-03-16 14:13:26
44,18.51,13.9,2017-03-16 14:22:29
44,18.35,15.5,2017-03-16 14:32:02
44,18.2,15.5,2017-03-16 14:42:05
44,18.04,17.4,2017-03-16 14:51:37
44,17.88,17.4,2017-03-16 15:01:41
44,17.73,19.6,2017-03-16 15:11:15
44,18.51,19.6,2017-03-16 15:21:17
44,19.92,19.9,2017-03-16 15:31:21
44,20.39,19.9,2017-03-16 15:41:25
44,21.18,19.9,2017-03-16 15:50:57
44,21.96,19.9,2017-03-16 16:01:00
44,22.43,19.2,2017-03-16 16:11:03
44,22.75,19.2,2017-03-16 16:21:06
44,22.9,18.7,2017-03-16 16:31:09
44,23.22,18.7,2017-03-16 16:41:12
44,22.9,17.7,2017-03-16 16:50:45
44,22.75,17.7,2017-03-16 17:00:48
44,22.27,16.7,2017-03-16 17:10:51
44,21.8,16.7,2017-03-16 17:20:54
44,21.18,15.0,2017-03-16 17:30:58
44,20.86,15.0,2017-03-16 17:41:02
44,20.55,13.2,2017-03-16 17:51:06
44,20.24,13.2,2017-03-16 18:01:12
47,19.92,11.2,2017-03-16 18:11:15
48,19.61,11.2,2017-03-16 18:21:19
48,19.45,10.0,2017-03-16 18:31:22
48,19.29,10.0,2017-03-16 18:41:26
48,19.14,9.1,2017-03-16 20:42:04
48,18.82,9.1,2017-03-16 20:51:39
48,18.67,8.3,2017-03-16 21:11:47
48,18.82,8.3,2017-03-16 21:31:56
48,19.14,7.6,2017-03-17 06:23:55
49,19.29,7.6,2017-03-17 06:33:59
49,19.45,6.9,2017-03-17 06:44:04
49,19.61,6.9,2017-03-17 06:54:08
49,19.76,6.3,2017-03-17 07:04:13
49,19.92,6.3,2017-03-17 07:14:17
49,20.08,5.6,2017-03-17 07:24:22
49,20.24,5.6,2017-03-17 07:34:28
49,20.39,5.2,2017-03-17 07:44:02
49,20.39,5.2,2017-03-17 07:54:08
49,20.39,5.9,2017-03-17 08:04:12
49,20.24,5.9,2017-03-17 08:14:16
49,20.08,9.3,2017-03-17 08:24:20
49,19.92,9.3,2017-03-17 08:34:24
49,19.76,12.9,2017-03-17 08:44:27
49,19.61,12.9,2017-03-17 08:54:31
49,19.45,16.1,2017-03-17 09:04:34
49,19.29,16.1,2017-03-17 09:14:38
49,19.14,16.6,2017-03-17 09:24:41
49,18.82,16.6,2017-03-17 09:34:15
49,18.67,17.1,2017-03-17 09:44:18
49,19.14,17.1,2017-03-17 09:54:22
49,20.24,17.6,2017-03-17 10:04:25
49,21.18,17.6,2017-03-17 10:14:29
50,22.12,16.8,2017-03-17 10:24:31
49,21.8,16.8,2017-03-17 10:34:34
45,21.49,17.7,2017-03-17 10:44:37
34,21.18,17.7,2017-03-17 10:54:41
37,20.86,17.6,2017-03-17 11:04:44
39,20.71,17.6,2017-03-17 11:14:17
40,20.39,17.3,2017-03-17 11:24:19
41,20.24,17.3,2017-03-17 11:34:22
41,20.08,16.4,2017-03-17 11:44:24
42,19.92,16.4,2017-03-17 11:54:27
42,19.76,15.4,2017-03-17 12:04:30
43,19.61,15.4,2017-03-17 12:14:33
43,19.45,15.2,2017-03-17 12:24:37
43,19.29,15.2,2017-03-17 12:34:40
43,18.82,13.0,2017-03-17 12:44:43
43,18.67,13.0,2017-03-17 12:54:46
43,18.51,13.0,2017-03-17 13:04:50
43,18.35,13.0,2017-03-17 13:13:53
43,18.2,14.4,2017-03-17 13:23:56
44,18.04,14.4,2017-03-17 13:34:00
44,17.88,14.2,2017-03-17 13:44:03
44,18.82,14.2,2017-03-17 13:54:06
44,19.14,14.2,2017-03-17 13:55:29
45,19.76,13.6,2017-03-17 14:04:21
45,20.71,13.6,2017-03-17 14:14:24
45,21.33,12.0,2017-03-17 14:23:58
45,22.12,12.0,2017-03-17 14:34:01
45,22.59,10.9,2017-03-17 14:44:04
45,22.9,10.9,2017-03-17 14:54:07
45,22.75,10.2,2017-03-17 15:04:10
45,22.43,10.2,2017-03-17 15:14:12
45,22.12,9.6,2017-03-17 15:24:17
45,21.65,9.6,2017-03-17 15:34:19
